scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
12216__len__19993	+	2911__len__27256	-	550.442082549	0.373211272394	0.333333333333	6
12216__len__19993	+	1695__len__12038	-	-2625.32293956	0.00356144520485	0.5	8
12216__len__19993	+	42044__len__8107	+	601.051074537	0.320682466184	0.2	5
13219__len__9343	-	11606__len__10758	-	-2853.32293956	0.00220779175696	0.285714285714	7
32463__len__20352	+	3048__len__24359	-	-3574.32293956	0.0042751224978	0.5	10
9290__len__21801	-	5750__len__35423	+	-4968.32293956	0.00351803870423	0.428571428571	7
4816__len__11974	+	17513__len__24559	+	-5127.32293956	0.0021096180703	0.6	5
1607__len__14083	-	11681__len__37769	-	-2541.32293956	0.727186483678	0.5	6
12220__len__16289	+	14085__len__16972	+	-1003	0.896524306278	0.68085106383	94
6411__len__22602	-	3095__len__12642	-	-1893.01982505	0.00944497578282	0.333333333333	9
6411__len__22602	-	13080__len__38007	+	-4696.32293956	0.00296099006431	0.4	5
6411__len__22602	-	11586__len__25646	+	-2159.64539046	0.00504166218882	0.5	12
6411__len__22602	-	4361__len__28625	-	-1092.25740341	0.00376255121957	0.428571428571	7
6411__len__22602	-	19493__len__16076	+	-1083.83886392	0.0032132745125	0.4	5
6411__len__22602	-	11184__len__31715	-	-2811.32293956	0.314378439341	0.0833333333333	12
6411__len__22602	-	23672__len__16486	-	-4043.32293956	0.00415643919677	0.454545454545	11
6411__len__22602	-	1695__len__12038	-	-830.230655463	0.609221319852	0.2	5
6411__len__22602	-	6370__len__17477	-	735.163063281	0.00136524112822	0.5	8
6748__len__19551	+	11575__len__70208	+	-1159	0.543113060053	0.5	6
